Kombinace příznaků,Délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 1, 0, 1, 1)",6,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(0, 1, 1, 0, 0)",6,0.9180952380952382,0.9266205642222383,0.8960332518031503,1.0,0.9408846053417964,0.949875394193576,0.8675666540432816,1.0,0.905,0.9275,1.0
"(0, 1, 1, 0, 1)",6,0.9161904761904761,0.9248889624906367,0.8936663878978248,1.0,0.9395184501294873,0.9480735923917744,0.8653194630320457,1.0,0.9033333333333333,0.925,1.0
"(0, 1, 1, 1, 0)",6,0.5904761904761905,0.7261146496815286,0.0,1.0,0.5753715498938429,0.5876288659793815,0.0,1.0,0.95,0.0,1.0
"(0, 1, 1, 1, 1)",6,0.5895238095238096,0.7253006654321238,0.0,1.0,0.575100221810708,0.5872015383793602,0.0,1.0,0.9483333333333335,0.0,1.0
"(1, 0, 0, 0, 0)",6,0.8895238095238096,0.9000797607342355,0.8616753137615829,1.0,0.9205850248319394,0.9307488351714863,0.8248519021552729,1.0,0.8716666666666667,0.9024999999999999,1.0
"(1, 0, 0, 0, 1)",6,0.8923809523809524,0.9030904413284564,0.8644229522566398,1.0,0.9225044645283653,0.9296329152753928,0.8320571367136379,1.0,0.8783333333333333,0.9,1.0
"(1, 0, 0, 1, 0)",6,0.6590476190476191,0.7688227542279814,0.18333333333333332,1.0,0.6507186958537716,0.6647459499263624,0.175,1.0,0.9416666666666668,0.1925,1.0
"(1, 0, 0, 1, 1)",6,0.580952380952381,0.717948717948718,0.0,1.0,0.5726495726495727,0.5833333333333334,0.0,1.0,0.9333333333333333,0.0,1.0
"(1, 0, 1, 0, 0)",6,0.9152380952380954,0.9242843441596369,0.8919535075014725,1.0,0.9387459505537032,0.9449937006225996,0.8665582279372582,1.0,0.905,0.9199999999999999,1.0
