Kombinace příznaků,Délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(1, 0, 1, 0, 1)",6,0.8333333333333333,0.8494628880894975,0.7910206534958883,1.0,0.880161180528462,0.877371316355946,0.7577091386368483,1.0,0.8233333333333335,0.8275,1.0
"(1, 0, 1, 1, 0)",6,0.818095238095238,0.8564320552995424,0.6714897377287631,1.0,0.8426405976761018,0.8405181839468557,0.6565594463750037,1.0,0.89,0.6875,1.0
"(1, 0, 1, 1, 1)",6,0.8171428571428571,0.8558172324039328,0.6710669851713851,1.0,0.8422947391917726,0.8387435622804663,0.658069892069216,1.0,0.8899999999999999,0.6849999999999999,1.0
"(1, 1, 0, 0, 0)",6,0.7628571428571428,0.7766222641773303,0.7185302382965112,1.0,0.8317175008246138,0.8412473040977714,0.6559036393713813,1.0,0.7216666666666667,0.7949999999999999,1.0
"(1, 1, 0, 0, 1)",6,0.7657142857142857,0.7795455618540118,0.7216046216831972,1.0,0.8337167278457362,0.8434210466315115,0.6592182862392503,1.0,0.725,0.7975,1.0
"(1, 1, 0, 1, 0)",6,0.8,0.8388312102609033,0.6513471835158183,1.0,0.8300594645922406,0.8328551723783489,0.6252678899275066,1.0,0.8633333333333333,0.6799999999999999,1.0
"(1, 1, 0, 1, 1)",6,0.800952380952381,0.8401169491129048,0.6529602807699412,1.0,0.8310257432942821,0.8313778030005776,0.6305502762819836,1.0,0.8666666666666666,0.6775,1.0
"(1, 1, 1, 0, 0)",6,0.8114285714285714,0.8251676551544394,0.7716852031916506,1.0,0.8656176194486965,0.8761231468708104,0.7175250535726777,1.0,0.78,0.835,1.0
"(1, 1, 1, 0, 1)",6,0.8104761904761905,0.8245181547049005,0.770156409384563,1.0,0.8648915213631545,0.8745722501797267,0.7166397849462367,1.0,0.78,0.8324999999999999,1.0
"(1, 1, 1, 1, 0)",6,0.818095238095238,0.8562552206399492,0.6718339718079369,1.0,0.8426963974826286,0.842021943345352,0.6550795309416,1.0,0.8883333333333333,0.69,1.0
"(1, 1, 1, 1, 1)",6,0.8171428571428571,0.855484889397515,0.6704632193369753,1.0,0.8419827029114966,0.8403917616965397,0.6546785686320571,1.0,0.8883333333333333,0.6875,1.0
"(0, 0, 0, 0, 1)",7,0.7971428571428572,0.8136845459147184,0.7513664592670466,1.0,0.8550170017272549,0.8565032965744617,0.704505987470042,1.0,0.775,0.805,1.0
"(0, 0, 0, 1, 0)",7,0.8019047619047619,0.8423552323320862,0.6526352842198835,1.0,0.8316635055173233,0.8245940939304782,0.6410206718346254,1.0,0.8766666666666666,0.6649999999999999,1.0
"(0, 0, 0, 1, 1)",7,0.800952380952381,0.8415307620542396,0.6526352842198835,1.0,0.8313886820913744,0.8241577937559583,0.6410206718346254,1.0,0.875,0.6649999999999999,1.0
"(0, 0, 1, 0, 0)",7,0.839047619047619,0.8526291674740953,0.8018610747665743,1.0,0.8848300807468898,0.8941119248653436,0.7551714474239914,1.0,0.8149999999999998,0.8549999999999999,1.0
"(0, 0, 1, 0, 1)",7,0.8352380952380953,0.8504139309890875,0.794775161481408,1.0,0.8817296974901652,0.8834997667847407,0.7566055937149911,1.0,0.82,0.8375,1.0
"(0, 0, 1, 1, 0)",7,0.8152380952380952,0.8536361339344903,0.67094527841902,1.0,0.84152713745117,0.8407614784506545,0.6531531053717635,1.0,0.8833333333333332,0.69,1.0
"(0, 0, 1, 1, 1)",7,0.8171428571428571,0.8555326703685884,0.672969374148994,1.0,0.8428340148391943,0.8411045660161836,0.6569876108747212,1.0,0.8866666666666667,0.69,1.0
"(0, 1, 0, 0, 0)",7,0.7638095238095237,0.7773317881724962,0.7199786470401163,1.0,0.8324368117375375,0.8428519593613932,0.6565671031096564,1.0,0.7216666666666667,0.7975,1.0
"(0, 1, 0, 0, 1)",7,0.7657142857142857,0.7791549290687602,0.7222373900447792,1.0,0.833797439704513,0.8447340378474154,0.6585454701784798,1.0,0.7233333333333334,0.8,1.0
"(0, 1, 0, 1, 0)",7,0.7971428571428572,0.8377948411421215,0.6472262179613323,1.0,0.8283403530344845,0.8222326754073619,0.6328704579035455,1.0,0.8699999999999999,0.6625,1.0
"(0, 1, 0, 1, 1)",7,0.7942857142857143,0.8352600013628362,0.6448138685090867,1.0,0.8266912899573077,0.8200540046854652,0.6305602860400927,1.0,0.8666666666666666,0.6599999999999999,1.0
"(0, 1, 1, 0, 0)",7,0.8114285714285714,0.8240295479207687,0.7735980434956543,1.0,0.8658758638054742,0.8820695099185583,0.7135189606659287,1.0,0.7733333333333333,0.8450000000000001,1.0
"(0, 1, 1, 0, 1)",7,0.8104761904761905,0.8229615115586146,0.7727318078544516,1.0,0.8652311064710222,0.8818559591517168,0.7120965735292559,1.0,0.7716666666666667,0.8450000000000001,1.0
"(0, 1, 1, 1, 0)",7,0.8123809523809523,0.8507520533131947,0.6679919622035391,1.0,0.8395813385055779,0.8401522315188588,0.6475304671910816,1.0,0.8783333333333333,0.6900000000000001,1.0
