Kombinace příznaků,Délka úseků,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 1, 0)","(6, 0, 14, 0)",0.6500045642302543,1106.3,0.718731269251619,0.5507266418232319,0.2665710531323323,0.5120096547357276,0.6143763127150648,0.5306873301426578,0.6327078492220793,0.8844585420763972,0.6284593301196827,0.2213192976923962
"(0, 0, 0, 1, 0)","(6, 0, 16, 0)",0.6487805467310197,1110.9,0.7168907476881023,0.5587143602790162,0.25497328066133623,0.5101927962094848,0.6114368412314131,0.5199007914196323,0.6437915974885209,0.8848836459672975,0.6596835644358638,0.18504187235225444
"(0, 0, 0, 1, 0)","(0, 8, 12, 0)",0.6487607936487587,1111.2,0.7215266522752326,0.5486292092102276,0.24541863141599554,0.5051914976338185,0.6184231046667992,0.5064874793079746,0.6435969605370608,0.8846578470639734,0.6618883280134,0.177408788700434
"(0, 0, 0, 1, 0)","(0, 8, 14, 0)",0.6471464339256615,1116.7,0.7200205791228302,0.5485725709083416,0.24152156777518954,0.5033715726021204,0.6161944918994916,0.5064760423624788,0.6422988713142669,0.8848820045602135,0.66036829971195,0.17403304539885317
"(0, 0, 0, 1, 0)","(0, 8, 16, 0)",0.6461897690442331,1120.2,0.7181755290270451,0.5405040442131518,0.250107605600615,0.502929059613604,0.6134245516734513,0.522365681588047,0.6339996405957332,0.8851806537240057,0.6235546715527585,0.20906743641693729
"(0, 0, 0, 1, 0)","(0, 10, 12, 0)",0.6479533196873023,1114.2,0.7224004554924514,0.5368428532505347,0.2499882414191698,0.5030771833873853,0.6201537387333296,0.5129183075143893,0.6350456434630339,0.8836875304744577,0.6287669549241067,0.2099904801209676
"(0, 0, 0, 1, 0)","(0, 10, 14, 0)",0.6469709212735272,1117.7,0.66477963561526,0.5756406564199608,0.27068270099908365,0.5037009976781015,0.5998421224589723,0.5380077831030785,0.6304449030602509,0.7939724246407575,0.6794917889509784,0.25533820005870256
"(0, 0, 0, 1, 0)","(0, 10, 16, 0)",0.6464439070773443,1119.5,0.6633048979616414,0.5767460610066397,0.26922485120331413,0.5030919367238651,0.5976487169464288,0.540075321060879,0.6307661856105835,0.7941211951833828,0.677862655639139,0.25455340192055104
"(0, 0, 0, 1, 0)","(0, 0, 12, 0)",0.6416268596629656,1135.3,0.6547974811591037,0.576786111934239,0.2626200482052499,0.4980678804328642,0.5792398411122964,0.5475593508487763,0.6326657360657587,0.7943581114639842,0.660952455310247,0.24998387477080883
"(0, 0, 0, 1, 0)","(0, 0, 14, 0)",0.63868471976803,1144.7,0.6504306221278093,0.5756711402376435,0.2585518998785397,0.4948845540813309,0.5729336633468908,0.5506985566732273,0.6322901367931358,0.7943970159729472,0.651494536685149,0.2474606318678903
"(0, 0, 0, 1, 0)","(0, 0, 16, 0)",0.6367431975125905,1151.3,0.6471203233025412,0.5752803913555102,0.2572632150197415,0.49322130989259766,0.5695575095324898,0.5539377241571892,0.6326921442733271,0.7944655091236321,0.645108170322907,0.2464909696738172
"(0, 0, 0, 1, 1)","(4, 8, 12, 5)",0.649973153069012,1109.3,0.7141165806214687,0.4910205893940091,0.2878070943391594,0.4976480881182123,0.6065425723249989,0.5104327094128648,0.6254072459097756,0.8864134940941245,0.5702698116948918,0.21640391477078436
"(0, 0, 0, 1, 1)","(4, 8, 12, 6)",0.6520354486844627,1102.3,0.7150941311932197,0.49403880169367864,0.2954151090524576,0.5015160139797852,0.6080063879423674,0.5167398331124398,0.624118071628333,0.8862395810506463,0.5705814279003526,0.22230262931948844
"(0, 0, 0, 1, 1)","(4, 8, 12, 7)",0.6549608082181466,1091.7,0.7170012528638113,0.49821086692895955,0.30411149766143575,0.5064412058180688,0.6110949747922263,0.5192581612384496,0.6220864726432213,0.8858351250773954,0.5737976715284834,0.22929638699343485
"(0, 0, 0, 1, 1)","(4, 8, 12, 8)",0.6569622156045712,1084.8,0.7182308787384558,0.500921255106016,0.31142284763014805,0.51019166049154,0.6129442194752188,0.5238158418266265,0.6224125303053314,0.8855676554055142,0.5760286187094332,0.23679141607240814
"(0, 0, 0, 1, 1)","(4, 8, 12, 9)",0.6578440949271476,1081.3,0.7193478194331134,0.5616288685891809,0.27659027327192587,0.5191889870980735,0.6145551397686818,0.5633393223729354,0.6582413562726982,0.8854991622548292,0.6623531551954098,0.20219609092786625
"(0, 0, 0, 1, 1)","(4, 8, 12, 10)",0.659087493189654,1077.1,0.7208183203558812,0.5616953067003514,0.28084319553496007,0.5211189408637309,0.6167494569462872,0.5630582106405574,0.656392574695409,0.8852595232609112,0.6630585846343593,0.20588674520326297
"(0, 0, 0, 1, 1)","(4, 8, 12, 11)",0.6594977923986566,1075.4,0.7219776659174686,0.5609842599703856,0.2845065322693289,0.5224894860523944,0.6186004418403479,0.562263157704902,0.655235172560732,0.884885823503275,0.6628008568307953,0.20930546265599848
"(0, 0, 0, 1, 1)","(4, 8, 12, 12)",0.6595541672946073,1074.6,0.7233470158608368,0.5593825267791832,0.284944827631931,0.5225581234239838,0.620884697916902,0.5597480322596977,0.6548170903035786,0.8842449677461183,0.66272438434304,0.21046228740558184
"(0, 0, 0, 1, 1)","(4, 8, 12, 13)",0.65862525771033,1077.6,0.7245058893774092,0.5568436568127032,0.2850405266415452,0.5221300242772193,0.6226904067229977,0.557149558240749,0.6535066233640987,0.8840314269172408,0.6609765930511656,0.2110070657672646
"(0, 0, 0, 1, 1)","(4, 8, 12, 14)",0.6586951226373221,1077.2,0.725520925779333,0.555470196406173,0.28481718754645613,0.5219361032439875,0.6242599900246566,0.5383264793579063,0.6527783664517794,0.8838575138737624,0.6612106558561085,0.21104300515710062
"(0, 0, 0, 1, 1)","(4, 8, 12, 15)",0.6576730173125986,1080.0,0.7256908220770887,0.5539369957568069,0.2832710420474808,0.5209662866271255,0.6246620801650697,0.5287232907071739,0.6489896142636196,0.8836452275353034,0.6600923073039868,0.2103102120407317
"(0, 0, 0, 1, 1)","(4, 8, 12, 16)",0.6574862109590993,1080.6,0.7256316395982376,0.5539998205024694,0.282970374801411,0.5208672783007061,0.6245769590497077,0.5287522893745458,0.6480502977396578,0.8836312499712891,0.6601890485074524,0.20990654238528075
"(0, 0, 0, 1, 1)","(4, 8, 14, 5)",0.6490257186844444,1112.4,0.7129867811568384,0.4907985066481306,0.28588438433527064,0.49655655738007975,0.6049230442790454,0.5107940541807174,0.626746059862079,0.8865504803954944,0.5691233733031,0.21416080617389013
"(0, 0, 0, 1, 1)","(4, 8, 14, 6)",0.6511374231992643,1105.1,0.714015318613163,0.4940879500102774,0.29351919947403615,0.5005408226991588,0.6064420356422492,0.5176250764908419,0.6237263693494542,0.8863950307230704,0.5692425438272848,0.22053966997135993
"(0, 0, 0, 1, 1)","(4, 8, 14, 7)",0.6540767730372401,1094.8,0.7153980183928009,0.4994519366765826,0.3028700775024172,0.5059066775239336,0.6086168780888586,0.5235107397967751,0.6229700187282993,0.8859031522882796,0.57362255280204,0.22732043823888343
"(0, 0, 0, 1, 1)","(4, 8, 14, 8)",0.6555835337936357,1089.3,0.7168498305295552,0.5009581531936592,0.30855110180024115,0.5087863618411518,0.6109249224279563,0.5247327779133174,0.6226681417737453,0.8858161957665406,0.573996931621042,0.23417303888098231
"(0, 0, 0, 1, 1)","(4, 8, 14, 9)",0.6571459876288203,1083.6,0.7181933332351895,0.5629443422519737,0.2749143924430268,0.5186840226433967,0.6130065744740503,0.5650602969561652,0.6572752888398389,0.8854371414542023,0.6618438265331167,0.20041911661546224
"(0, 0, 0, 1, 1)","(4, 8, 14, 10)",0.6578643869360224,1081.2,0.7196026613557015,0.5614921680914979,0.27815836625702206,0.5197510652347405,0.6149981763339325,0.5634644118210473,0.6559465657154655,0.8854870416538031,0.6614458921093751,0.2033134861568206
"(0, 0, 0, 1, 1)","(4, 8, 14, 11)",0.6584677586570382,1078.8,0.7211408463651223,0.5608273829826331,0.2815013472880472,0.5211565255452675,0.6173635237610091,0.5623872079695424,0.6545179906620104,0.8851569556614644,0.6618671548377311,0.20677024770534222
"(0, 0, 0, 1, 1)","(4, 8, 14, 12)",0.658314656135739,1079.0,0.7225746525553871,0.5585390809567606,0.2831270349011933,0.5214135894711137,0.619644157804636,0.5596833057361813,0.6544797826880904,0.8846059819636984,0.6612214309209408,0.20867331873421632
"(0, 0, 0, 1, 1)","(4, 8, 14, 13)",0.6584852309536539,1078.3,0.7242079427502911,0.556986291423711,0.28336735638282595,0.5215205301856093,0.6222588597884983,0.5566711864850266,0.6535173716876573,0.8843319242678576,0.6620597258597306,0.20910928523348976
"(0, 0, 0, 1, 1)","(4, 8, 14, 14)",0.6575300054244858,1081.1,0.72494360424602,0.554965144810578,0.28140336585040265,0.520437371635667,0.6234096716520232,0.5295572336167552,0.6514560830771272,0.8841920856731411,0.661067007431573,0.20820635549710179
"(0, 0, 0, 1, 1)","(4, 8, 14, 15)",0.6569285787953928,1082.8,0.7255856444815932,0.5531521476102428,0.2809190808891269,0.5198856243269877,0.6243745422915572,0.5279305314305903,0.6479459136737853,0.884105129151402,0.6595213441875509,0.20816414461858707
"(0, 0, 0, 1, 1)","(4, 8, 14, 16)",0.6565300365267173,1083.9,0.7253132823103015,0.5532989084128964,0.2804658360750219,0.5196926755994066,0.624079953052199,0.5363737764010226,0.6470774797141374,0.8840449315887152,0.6594483360157092,0.20763102714513812
"(0, 0, 0, 1, 1)","(4, 8, 16, 5)",0.6479681871158051,1116.1,0.7113759412021066,0.4908826891830049,0.28483415477970236,0.49569759505493793,0.602510385758317,0.5123778053914724,0.6271438319890126,0.8867243934389727,0.5671987031362066,0.21274269451266364
"(0, 0, 0, 1, 1)","(4, 8, 16, 6)",0.6503678396292111,1107.6,0.712588044211217,0.49501618692391336,0.29292103020247645,0.5001750871125357,0.6043545108238948,0.5232198323819357,0.624313085983093,0.8865504803954944,0.5676643242771467,0.21960490334476584
"(0, 0, 0, 1, 1)","(4, 8, 16, 7)",0.6525592471560946,1100.1,0.7139929354456773,0.49847388080313315,0.29934487832176576,0.5039372315235254,0.606474860398813,0.5234772118211374,0.623906770699461,0.8860901683692802,0.5716693862582038,0.2242654993813073
"(0, 0, 0, 1, 1)","(4, 8, 16, 8)",0.6547365051854566,1092.0,0.715768007131833,0.5011661442288051,0.30721899000979475,0.5080510471234776,0.6093245260266685,0.5257655916524308,0.6227005515020807,0.8858284459475966,0.5728053740120733,0.23295050985586513
"(0, 0, 0, 1, 1)","(4, 8, 16, 9)",0.6563500016768153,1086.4,0.7170674120268276,0.5628911378877428,0.27430531428916,0.5180879547345768,0.611306365016064,0.5662237810925671,0.657628459195968,0.8855369418534039,0.6606376952306745,0.19956117000018034
"(0, 0, 0, 1, 1)","(4, 8, 16, 10)",0.6575538921444289,1082.3,0.7185611931794685,0.5628851358981078,0.2776561679793325,0.519700832352303,0.6135244187691183,0.5655820461246162,0.6556523126056815,0.8854870416538031,0.6612082129434104,0.20266079752667202
"(0, 0, 0, 1, 1)","(4, 8, 16, 11)",0.657792682271784,1081.4,0.7200354186761733,0.5610003729942762,0.2795935269473623,0.5202097728726038,0.6157286615589851,0.562872878955236,0.6557913302106223,0.8852939419628344,0.6613747627483706,0.2045351235376951
